transaction_id,product,category,region,customer,year,month,quantity,unit_price,revenue,cost,profit,sales
TXN000037,Printer,Audio,South,Customer_0338,2021,1,8,161.44,1291.51,673.18,618.34,1291.51
TXN000048,Desktop,Storage,East,Customer_0033,2021,1,61,900.72,54943.97,28305.62,26638.35,54943.97
TXN000129,Keyboard,Electronics,South,Customer_0497,2021,1,31,55.47,1719.64,1039.92,679.73,1719.64
TXN000152,Tablet,Accessories,South,Customer_0062,2021,1,98,392.68,38482.91,24387.5,14095.41,38482.91
TXN000183,Hard Drive,Networking,East,Customer_0095,2021,1,11,108.8,1196.81,703.43,493.39,1196.81
TXN000295,Printer,Accessories,North,Customer_0374,2021,1,76,204.92,15574.03,8606.69,6967.34,15574.03
TXN000310,Scanner,Accessories,East,Customer_0181,2021,1,16,126.85,2029.59,1347.39,682.19,2029.59
TXN000352,Scanner,Audio,East,Customer_0464,2021,1,80,132.51,10600.85,6025.1,4575.75,10600.85
TXN000489,Speakers,Accessories,East,Customer_0232,2021,1,17,127.11,2160.89,1408.47,752.42,2160.89
TXN000548,Smartphone,Electronics,Central,Customer_0380,2021,1,31,557.43,17280.48,11541.5,5738.98,17280.48
TXN000774,Smartphone,Computers,South,Customer_0489,2021,1,40,597.57,23902.78,14209.37,9693.41,23902.78
TXN000835,Tablet,Accessories,South,Customer_0227,2021,1,93,376.19,34986.07,21000.96,13985.11,34986.07
TXN000873,Webcam,Accessories,South,Customer_0454,2021,1,6,70.07,420.39,253.15,167.24,420.39
TXN000885,Desktop,Computers,North,Customer_0458,2021,1,13,806.59,10485.69,5474.03,5011.66,10485.69
TXN000934,Smartphone,Networking,Central,Customer_0234,2021,1,17,600.91,10215.52,6218.6,3996.92,10215.52
TXN001014,Tablet,Audio,East,Customer_0342,2021,1,98,461.63,45239.4,24550.94,20688.46,45239.4
TXN001201,Laptop,Storage,East,Customer_0331,2021,1,98,805.47,78935.74,50684.0,28251.74,78935.74
TXN001334,Tablet,Audio,West,Customer_0173,2021,1,84,418.84,35182.25,24041.32,11140.93,35182.25
TXN001368,Tablet,Networking,South,Customer_0184,2021,1,78,439.47,34278.7,18871.66,15407.04,34278.7
TXN001437,Smartphone,Networking,North,Customer_0456,2021,1,99,644.15,63770.43,38153.99,25616.43,63770.43
TXN001508,Smartphone,Computers,North,Customer_0070,2021,1,91,491.67,44741.58,22649.86,22091.72,44741.58
TXN001545,Smartphone,Accessories,Central,Customer_0394,2021,1,89,492.76,43855.39,26457.29,17398.11,43855.39
TXN001563,Monitor,Computers,East,Customer_0005,2021,1,93,262.36,24399.57,16514.79,7884.78,24399.57
TXN001597,Headphones,Storage,West,Customer_0037,2021,1,89,94.61,8420.43,5648.11,2772.32,8420.43
